time strain
0.0 -6.474985899999999e-22
3.6738347e-05 -1.1409479e-21
7.347669399999999e-05 -1.4433137999999999e-21
0.00011021504 -1.4636626e-21
0.00014695339 -1.3277885e-21
0.00018369173 -1.3691886e-21
0.00022043008 -1.3691983e-21
0.00025716843 -1.3692051e-21
0.00029390678 -1.3692105e-21
0.00033064512 -1.3692153999999999e-21
0.00036738347 -1.3692207999999999e-21
0.00040412182 -1.3692265999999999e-21
0.00044086016 -1.3692344999999999e-21
0.00047759851 -1.3692405999999997e-21
0.00051433686 -1.3692465999999999e-21
0.0005510752 -1.369251e-21
0.00058781355 -1.3692545999999997e-21
0.0006245519000000001 -1.3692577e-21
0.00066129025 -1.3692602e-21
0.00069802859 -1.369262e-21
0.00073476694 -1.3692615999999999e-21
0.00077150529 -1.3692601e-21
0.00080824363 -1.3692587999999998e-21
0.00084498198 -1.3692571999999997e-21
0.0008817203300000002 -1.3692547e-21
0.00091845867 -1.3692506e-21
0.0009551970200000002 -1.3692459999999997e-21
0.00099193537 -1.3692398999999999e-21
0.0010286737 -1.3692338999999999e-21
0.0010654121000000002 -1.3692267e-21
0.0011021504 -1.3692178e-21
0.0011388887999999998 -1.3692102e-21
0.0011756271 -1.3692003999999999e-21
0.0012123654 -1.3691876999999999e-21
0.0012491038 -1.3691722e-21
0.0012858421 -1.3691567e-21
0.0013225805 -1.3691410000000002e-21
0.0013593188 -1.369127e-21
0.0013960572000000003 -1.3691134999999999e-21
0.0014327955 -1.3690977e-21
0.0014695339 -1.3690818e-21
0.0015062722 -1.3690644999999997e-21
0.0015430105999999996 -1.3690472000000003e-21
0.0015797489 -1.369029e-21
0.0016164872999999997 -1.3690092999999999e-21
0.0016532256 -1.3689898999999999e-21
0.001689964 -1.368969e-21
0.0017267023 -1.3689475999999997e-21
0.0017634407 -1.3689260000000002e-21
0.001800179 -1.3689021e-21
0.0018369173 -1.3688763e-21
0.0018736557 -1.3688490999999999e-21
0.001910394 -1.3688214999999998e-21
0.0019471324 -1.3687945e-21
0.0019838707 -1.3687678e-21
0.0020206091 -1.3687401e-21
0.0020573474 -1.3687118e-21
0.0020940858 -1.3686827e-21
0.0021308241 -1.3686777e-21
0.0021675625 -1.36918e-21
0.0022043008 -1.369427e-21
0.0022410392 -1.3660111e-21
0.0022777775 -1.3673989e-21
0.0023145159 -1.3693238e-21
0.0023512542 -1.3702489999999999e-21
0.0023879926 -1.3701282000000003e-21
0.0024247309 -1.3688615000000003e-21
0.0024614692 -1.3662932000000002e-21
0.0024982076000000008 -1.3665682e-21
0.0025349459 -1.3689427999999999e-21
0.0025716843 -1.3680122e-21
0.0026084226 -1.3681689e-21
0.002645161 -1.3681280999999998e-21
0.0026818993 -1.3680871e-21
0.0027186377 -1.3680461999999999e-21
0.002755376 -1.3680034e-21
0.0027921144 -1.3679597e-21
0.0028288527 -1.3679146999999998e-21
0.0028655911 -1.3678706e-21
0.0029023294 -1.3678266e-21
0.0029390678 -1.3677823e-21
0.0029758061 -1.3677372999999998e-21
0.0030125445 -1.3676897999999999e-21
