time strain
0.0 -3.6112967e-22
3.5289926e-05 -6.422927e-22
7.0579851e-05 -8.093988999999998e-22
0.00010586978000000003 -8.1184465e-22
0.0001411597 -7.362576099999999e-22
0.00017644963 -7.6386856e-22
0.00021173955 -7.639264899999999e-22
0.00024702948 -7.639844099999998e-22
0.0002823194 -7.6404222e-22
0.00031760933000000004 -7.640999399999999e-22
0.00035289926 -7.641570099999998e-22
0.00038818918 -7.642141999999998e-22
0.00042347911 -7.642703199999998e-22
0.00045876903 -7.643264799999998e-22
0.00049405896 -7.643823199999999e-22
0.00052934888 -7.644382499999999e-22
0.00056463881 -7.6449396e-22
0.00059992873 -7.645497199999999e-22
0.0006352186600000001 -7.646053899999998e-22
0.0006705085899999999 -7.646604599999999e-22
0.00070579851 -7.6471469e-22
0.0007410884399999999 -7.6476884e-22
0.00077637836 -7.6482148e-22
0.0008116682899999998 -7.6487643e-22
0.00084695821 -7.649309799999998e-22
0.0008822481399999998 -7.6498141e-22
0.00091753806 -7.650276199999999e-22
0.00095282799 -7.6507197e-22
0.0009881179100000002 -7.651189099999998e-22
0.0010234078 -7.651699999999998e-22
0.0010586978000000002 -7.6522254e-22
0.0010939877 -7.652709e-22
0.0011292776 -7.653252399999999e-22
0.0011645675 -7.6538576e-22
0.0011998575000000003 -7.654491099999999e-22
0.0012351474 -7.655094899999999e-22
0.0012704373 -7.655635199999998e-22
0.0013057272 -7.656108599999998e-22
0.0013410172 -7.656607099999998e-22
0.0013763071 -7.657114599999998e-22
0.001411597 -7.6576209999999985e-22
0.0014468869 -7.658122099999998e-22
0.0014821769 -7.6586039e-22
0.0015174668 -7.6590751e-22
0.0015527567 -7.659536999999999e-22
0.0015880466 -7.660005499999999e-22
0.0016233366 -7.660482699999998e-22
0.0016586265 -7.6609636e-22
0.0016939164 -7.661434999999998e-22
0.0017292064 -7.661905899999999e-22
0.0017644963 -7.662372899999998e-22
0.0017997862 -7.6628381e-22
0.0018350761 -7.663302599999999e-22
0.0018703661 -7.663759699999998e-22
0.001905656 -7.664232399999998e-22
0.0019409459 -7.66469e-22
0.0019762358 -7.6651014e-22
0.0020115258 -7.665475499999999e-22
0.0020468157 -7.665839899999999e-22
0.0020821056 -7.666228999999999e-22
0.0021173955000000004 -7.666654599999999e-22
0.0021526855 -7.667101499999999e-22
0.0021879754 -7.667528799999998e-22
0.0022232653 -7.667964700000001e-22
0.0022585552 -7.668400099999999e-22
0.0022938452 -7.668827699999998e-22
0.0023291351 -7.669248899999998e-22
0.002364425 -7.6696610999999985e-22
0.0023997149 -7.670072999999999e-22
0.0024350049 -7.670482599999998e-22
0.0024702948 -7.6708795e-22
0.0025055847 -7.671286899999998e-22
0.0025408746 -7.6717045e-22
0.0025761646 -7.672121899999999e-22
0.0026114545 -7.672532999999998e-22
0.0026467444 -7.672931799999999e-22
0.0026820343000000008 -7.673313499999998e-22
0.0027173243 -7.6736881e-22
0.0027526142 -7.6740736e-22
0.0027879041 -7.674471899999998e-22
0.002823194 -7.6748785e-22
0.002858484 -7.675275699999999e-22
0.0028937739 -7.675652899999998e-22
0.0029290638 -7.676009699999999e-22
0.0029643537 -7.676365599999999e-22
0.0029996437 -7.676733099999998e-22
0.0030349336 -7.677097399999999e-22
0.0030702235 -7.677455799999998e-22
0.0031055134 -7.677810300000001e-22
0.0031408034 -7.678163200000001e-22
0.0031760933 -7.678512899999999e-22
0.0032113832 -7.678859899999999e-22
0.0032466731000000007 -7.6791996e-22
0.0032819631 -7.679533899999999e-22
0.003317253 -7.679866099999999e-22
0.0033525429 -7.680197699999998e-22
0.0033878329 -7.6805267e-22
0.0034231228 -7.680849299999998e-22
0.0034584127 -7.6811750999999985e-22
0.0034937026 -7.681497699999998e-22
0.0035289926 -7.681823099999998e-22
0.0035642825 -7.6821447e-22
0.0035995724 -7.682454e-22
0.0036348623 -7.682756299999999e-22
0.0036701523 -7.683050499999998e-22
0.0037054422 -7.6833431e-22
0.0037407321 -7.6836364999999985e-22
0.003776022 -7.683933099999998e-22
0.003811312 -7.684224499999999e-22
0.0038466019 -7.684518499999998e-22
0.0038818918 -7.6848107e-22
0.0039171817 -7.685090499999999e-22
0.0039524717 -7.685357600000001e-22
0.0039877616 -7.6856286e-22
0.0040230515 -7.6858958e-22
0.0040583414 -7.6861692e-22
0.0040936314 -7.686451999999998e-22
0.0041289213 -7.686718099999998e-22
0.004164211199999999 -7.686985699999998e-22
0.0041995011 -7.6872514999999985e-22
0.0042347911 -7.687508399999998e-22
0.004270081 -7.687761599999998e-22
0.0043053709 -7.688008499999999e-22
0.0043406608 -7.688256799999999e-22
