time strain
0.0 -1.6995603999999998e-22
2.0326994e-05 -2.1569211e-22
4.0653989e-05 -2.5885742e-22
6.0980983e-05 -2.9774672e-22
8.1307977e-05 -3.3044746999999996e-22
0.00010163497000000002 -3.554502e-22
0.00012196197 -3.7178623999999997e-22
0.00014228896 -3.7916639999999997e-22
0.00016261595 -3.7811686e-22
0.00018294295 -3.7011619e-22
0.00020326994 -3.5773068999999996e-22
0.00022359694 -3.4475115999999997e-22
0.00024392393 -3.3632789999999997e-22
0.00026425093 -3.3910527e-22
0.00028457792 -3.4951498999999997e-22
0.00030490491 -3.4951993e-22
0.00032523191 -3.4952454999999996e-22
0.0003455589 -3.4952899999999996e-22
0.0003658859 -3.4953306e-22
0.00038621289 -3.4953694999999997e-22
0.00040653989 -3.4954084999999997e-22
0.00042686688 -3.4954447999999996e-22
0.00044719387 -3.4954815999999997e-22
0.00046752087 -3.4955187e-22
0.00048784786 -3.4955546999999997e-22
0.00050817486 -3.4955918e-22
0.0005285018500000001 -3.4956279e-22
0.0005488288500000001 -3.4956664999999997e-22
0.00056915584 -3.4957047000000005e-22
0.00058948283 -3.4957389e-22
0.00060980983 -3.4957751999999998e-22
0.0006301368200000001 -3.4958079e-22
0.00065046382 -3.4958356e-22
0.00067079081 -3.4958624e-22
0.0006911178 -3.4958894999999997e-22
0.0007114447999999999 -3.4959164e-22
0.00073177179 -3.4959389e-22
0.0007520987899999998 -3.4959624e-22
0.00077242578 -3.4959803999999997e-22
0.00079275278 -3.4959996e-22
0.0008130797699999998 -3.4960178999999997e-22
0.00083340676 -3.4960346e-22
0.0008537337599999999 -3.4960491e-22
0.00087406075 -3.4960647e-22
0.00089438775 -3.4960774e-22
0.00091471474 -3.4960890999999998e-22
0.00093504174 -3.496101e-22
0.00095536873 -3.4961102999999997e-22
0.0009756957200000002 -3.4961186999999996e-22
0.0009960227200000002 -3.4961265e-22
0.0010163497 -3.4961335e-22
0.0010366766999999999 -3.4961367999999996e-22
0.0010570037 -3.4961394999999997e-22
0.0010773307 -3.4961409999999998e-22
0.0010976577 -3.496142699999999e-22
0.0011179847 -3.4961393e-22
0.0011383117 -3.4961370999999996e-22
0.0011586387 -3.4961320999999998e-22
0.0011789657 -3.4961253999999997e-22
