time strain
0.0 -1.6516033999999998e-22
3.2629402e-05 -2.2944084e-22
6.5258804e-05 -2.8679377e-22
9.7888205e-05 -3.316144e-22
0.00013051761000000003 -3.5958711e-22
0.00016314701 -3.6905113e-22
0.00019577641 -3.6189968999999996e-22
0.00022840581 -3.4448247999999996e-22
0.00026103521000000004 -3.2850231e-22
0.00029366462 -3.3191226999999996e-22
0.00032629402 -3.3981798e-22
0.00035892342 -3.3984428999999997e-22
0.00039155282 -3.3987045999999997e-22
0.00042418222 -3.3989637e-22
0.00045681162 -3.3992226e-22
0.00048944103 -3.3994797999999997e-22
0.0005220704299999999 -3.3997362e-22
0.00055469983 -3.3999914999999997e-22
0.00058732923 -3.4002445999999997e-22
0.00061995863 -3.4004966999999997e-22
0.00065258804 -3.4007503e-22
0.00068521744 -3.4009988999999997e-22
0.00071784684 -3.4012487e-22
0.00075047624 -3.4014951e-22
0.00078310564 -3.4017406999999996e-22
0.00081573504 -3.4019846e-22
0.00084836445 -3.4022252e-22
0.00088099385 -3.4024663999999997e-22
0.0009136232500000002 -3.4027043e-22
0.00094625265 -3.4029412999999996e-22
0.00097888205 -3.4031758e-22
0.0010115114999999998 -3.4034096999999996e-22
0.0010441409 -3.4036418999999996e-22
0.0010767703 -3.4038746999999996e-22
0.0011093997 -3.404108e-22
0.0011420291 -3.4043377999999997e-22
0.0011746585 -3.4045689e-22
0.0012072879 -3.4047966e-22
0.0012399173 -3.4050241e-22
0.0012725466999999996 -3.4052507e-22
0.0013051761 -3.4054763e-22
0.0013378055 -3.4057008999999997e-22
0.0013704349 -3.4059244e-22
0.0014030643 -3.4061443999999997e-22
0.0014356937 -3.4063636e-22
0.0014683231 -3.4065819000000004e-22
0.0015009525 -3.4067994e-22
0.0015335818999999997 -3.4070126e-22
0.0015662113 -3.4072251999999997e-22
0.0015988407 -3.4074348e-22
0.0016314701 -3.4076452e-22
0.0016640995 -3.407852e-22
0.0016967289 -3.4080584e-22
0.0017293583 -3.4082632999999997e-22
0.0017619877 -3.4084690999999997e-22
0.0017946171 -3.4086696999999997e-22
0.0018272465 -3.4088731e-22
0.0018598759 -3.4090716e-22
0.0018925053 -3.4092703e-22
0.0019251347 -3.4094669999999997e-22
0.0019577641 -3.4096612e-22
0.0019903935 -3.4098533e-22
0.0020230229 -3.4100480000000003e-22
0.0020556523000000004 -3.4102421999999997e-22
0.0020882817 -3.4104347999999997e-22
0.0021209111 -3.4106198e-22
0.0021535405 -3.4108042e-22
0.0021861699 -3.4109860999999997e-22
0.0022187993 -3.4111662e-22
0.0022514287 -3.4113451e-22
0.0022840581000000003 -3.4115229e-22
0.0023166875 -3.4117001e-22
0.0023493169 -3.4118777999999996e-22
0.0023819463 -3.4120539e-22
0.0024145757 -3.4122317e-22
0.0024472051 -3.4124114000000004e-22
0.0024798345 -3.4125853999999997e-22
0.0025124639 -3.4127588e-22
0.0025450933 -3.4129275999999996e-22
0.0025777227 -3.4130939999999997e-22
0.0026103521 -3.4132625999999997e-22
0.0026429815 -3.4134305999999997e-22
0.0026756109 -3.4136009e-22
0.0027082403 -3.4137666999999996e-22
0.0027408697 -3.4139338e-22
0.0027734992 -3.4140986e-22
0.0028061286 -3.4142598999999997e-22
0.002838758 -3.4144225e-22
0.0028713874 -3.4145795e-22
0.0029040168 -3.4147334999999997e-22
0.0029366462 -3.4148848999999997e-22
0.0029692756 -3.4150325e-22
0.003001905 -3.4151812000000003e-22
0.0030345344 -3.4153286999999997e-22
0.0030671638 -3.415476e-22
0.0030997932 -3.4156231e-22
0.0031324226 -3.4157665e-22
0.003165052 -3.4159134e-22
0.0031976814 -3.4160578e-22
0.0032303108 -3.4162021999999998e-22
0.0032629402 -3.4163450999999996e-22
0.0032955696 -3.4164675000000003e-22
0.003328199 -3.4160280999999997e-22
0.0033608284 -3.4154834999999997e-22
0.0033934578 -3.421324e-22
0.0034260872 -3.4188692e-22
0.0034587166 -3.4150719999999996e-22
0.003491346 -3.414667e-22
0.0035239754 -3.4145642999999996e-22
0.0035566048 -3.4145386e-22
0.0035892342 -3.4146925e-22
0.0036218636 -3.4150771e-22
0.003654493 -3.4156963e-22
0.0036871224 -3.4165151999999997e-22
0.0037197518 -3.4174602e-22
0.0037523812 -3.4184095999999998e-22
0.0037850106 -3.4192019e-22
0.00381764 -3.4196331e-22
0.0038502694 -3.4194504e-22
0.0038828988 -3.4183668e-22
0.0039155282 -3.4159087e-22
0.0039481576 -3.4152104e-22
0.003980787 -3.4221124000000003e-22
0.0040134164 -3.4192671999999996e-22
0.0040460458 -3.4190047e-22
0.0040786752 -3.4192729000000003e-22
0.004111304600000001 -3.4194381e-22
0.004143934 -3.4195401999999997e-22
0.0041765634 -3.4196369e-22
0.0042091928 -3.4197299999999997e-22
0.004241822199999999 -3.4198245000000004e-22
0.0042744516 -3.4199152999999996e-22
0.004307081 -3.420006e-22
0.0043397104 -3.4200954999999997e-22
0.0043723398 -3.4201836e-22
0.0044049692 -3.4202663999999995e-22
0.0044375986 -3.4203470999999996e-22
0.004470228 -3.4204238999999996e-22
0.0045028574 -3.420495e-22
0.0045354868 -3.4205632999999997e-22
0.004568116200000001 -3.4206311e-22
0.0046007457 -3.4206983999999997e-22
0.0046333751 -3.4207652e-22
0.0046660044999999985 -3.4208337e-22
0.0046986339 -3.4209026e-22
0.0047312633 -3.4209741e-22
0.0047638927 -3.4210426000000004e-22
0.0047965221 -3.4211133e-22
0.0048291515 -3.4211863e-22
0.0048617809 -3.4212537999999996e-22
0.0048944103 -3.4213218e-22
0.0049270397 -3.4213878e-22
0.0049596691 -3.4214498e-22
0.0049922985000000015 -3.4215083e-22
0.0050249279 -3.421561e-22
0.0050575573 -3.4216108e-22
0.0050901867000000016 -3.4216572999999997e-22
0.005122816099999998 -3.4217081e-22
0.0051554455 -3.4217586e-22
0.0051880749 -3.4218080999999997e-22
0.0052207043 -3.4218503e-22
0.0052533337 -3.4218842999999997e-22
0.0052859631 -3.4219149e-22
0.0053185925 -3.4219352e-22
0.0053512219 -3.4219539e-22
0.0053838513 -3.4219690999999996e-22
0.0054164807 -3.4219859e-22
0.005449110100000001 -3.422007e-22
0.0054817395 -3.4220338999999996e-22
0.0055143689 -3.422055e-22
0.0055469983000000014 -3.4220881000000004e-22
0.0055796277 -3.4221453999999996e-22
0.0056122571 -3.4222024e-22
0.0056448865 -3.4222339e-22
0.0056775159 -3.4222384999999996e-22
0.0057101453 -3.4222174e-22
0.0057427747 -3.4221698e-22
0.0057754041 -3.4221066999999996e-22
0.0058080335 -3.4220353999999997e-22
0.0058406629 -3.4219662999999997e-22
0.0058732923 -3.4219118999999997e-22
0.0059059217 -3.4218786e-22
0.0059385511 -3.4257766999999996e-22
0.0059711805 -3.4212871e-22
0.0060038099 -3.4180576e-22
0.0060364393 -3.4183634000000004e-22
0.0060690687 -3.4209096999999998e-22
0.0061016981 -3.4245818999999997e-22
0.006134327500000002 -3.4285089999999996e-22
0.0061669568999999985 -3.4319804e-22
0.0061995863 -3.4344602e-22
